,scientificName,redlistCategory,populationTrend
0,Heosemys annandalii,Critically Endangered,Decreasing
1,Hubbsina turneri,Critically Endangered,Decreasing
2,Hungerfordia pelewensis,Endangered,Unknown
3,Ictalurus mexicanus,Vulnerable,Unknown
4,Indotestudo forstenii,Critically Endangered,Decreasing
5,Pangshura sylhetensis,Critically Endangered,Decreasing
6,Kubaryia pilikia,Critically Endangered,Unknown
7,Ameca splendens,Critically Endangered,Decreasing
8,Lamna nasus,Vulnerable,Decreasing
9,Lampsilis rafinesqueana,Endangered,Decreasing
10,Lampsilis abrupta,Vulnerable,Decreasing
11,Hamiota altilis,Endangered,Decreasing
12,Obovaria haddletoni,Critically Endangered,
13,Lemiox rimosus,Critically Endangered,Decreasing
14,Leptoxis taeniata,Endangered,Decreasing
15,Lepus castroviejoi,Vulnerable,Decreasing
16,Pleuronaia dolabelloides,Endangered,Decreasing
17,Lithognathus lithognathus,Endangered,Decreasing
18,Lucania interioris,Endangered,Unknown
19,Lutjanus cyanopterus,Vulnerable,Decreasing
20,Malaclemys terrapin,Vulnerable,Decreasing
21,Malacochersus tornieri,Critically Endangered,Decreasing
22,Manouria impressa,Endangered,Decreasing
23,Mantella aurantiaca,Endangered,Decreasing
24,Margaritifera marrianae,Endangered,Decreasing
25,Margaritifera hembeli,Critically Endangered,Decreasing
26,Medionidus parvulus,Endangered,Decreasing
27,Medionidus walkeri,Critically Endangered,Decreasing
28,Megalagrion jugorum,Critically Endangered,Unknown
29,Megalagrion oceanicum,Critically Endangered,Decreasing
30,Megalagrion pacificum,Endangered,Decreasing
31,Megalagrion xanthomelas,Endangered,Unknown
32,Megalagrion oahuense,Vulnerable,Unknown
33,Anhydrophryne rattrayi,Vulnerable,Unknown
34,Melanochelys tricarinata,Endangered,Decreasing
35,Menidia conchorum,Endangered,Decreasing
36,Mictocaris halope,Critically Endangered,Unknown
37,Telmatobius sanborni,Critically Endangered,Decreasing
38,Ctenophryne barbatula,Endangered,Unknown
39,Anodonthyla moramora,Endangered,Decreasing
40,Zhangixalus yinggelingensis,Vulnerable,Stable
41,Bolitoglossa gomezi,Endangered,Decreasing
42,Telmatobius punctatus,Endangered,Decreasing
43,Oreobates lehri,Endangered,Unknown
44,Plecotus sardus,Vulnerable,Decreasing
45,Uromys boeadii,Critically Endangered,Decreasing
46,Cryptocanthon nebulinus,Endangered,Unknown
47,Canthon corpulentus,Vulnerable,Unknown
48,Pachysoma aesculapius,Vulnerable,Unknown
49,Pachysoma endroedyi,Vulnerable,Unknown
50,Platyonitis bicuariensis,Vulnerable,Decreasing
51,Aulacopris matthewsi,Vulnerable,Unknown
52,Canthon quadripunctatus,Vulnerable,Unknown
53,Ontherus hadros,Vulnerable,Unknown
54,Ateuchus ambiguus,Endangered,Unknown
55,Clypeodrepanus striatus,Vulnerable,Unknown
56,Endroedyolus paradoxus,Endangered,Unknown
57,Canthon zuninoi,Vulnerable,Unknown
58,Pachysoma glentoni,Vulnerable,Unknown
59,Onthophagus aureofuscus,Endangered,Unknown
60,Canthonella gomezi,Endangered,Unknown
61,Cryptocanthon altus,Endangered,Unknown
62,Onoreidium howdeni,Endangered,Unknown
63,Onthophagus undulans,Vulnerable,Unknown
64,Dichotomius eucranioides,Endangered,Unknown
65,Proagoderus uluguru,Endangered,Decreasing
66,Pedaridium hirsutum,Vulnerable,Unknown
67,Cryptocanthon punctatus,Endangered,Unknown
68,Morenia ocellata,Endangered,Decreasing
69,Morenia petersi,Endangered,Decreasing
70,Neochanna burrowsius,Critically Endangered,Decreasing
71,Neochanna diversus,Endangered,Decreasing
72,Neochanna apoda,Endangered,Decreasing
73,Nilssonia formosa,Critically Endangered,Decreasing
74,Notochelys platynota,Vulnerable,Decreasing
75,Notropis aguirrepequenoi,Vulnerable,Unknown
76,Nyctalus azoreum,Vulnerable,Decreasing
77,Obovaria jacksoniana,Vulnerable,Decreasing
78,Mauremys sinensis,Critically Endangered,Decreasing
79,Ogmodon vitianus,Endangered,Decreasing
80,Ophisternon infernale,Endangered,Unknown
81,Sciades parkeri,Vulnerable,Decreasing
82,Orlitia borneensis,Critically Endangered,Decreasing
83,Ornithoptera aesacus,Vulnerable,Unknown
84,Euryoryzomys lamia,Vulnerable,Decreasing
85,Tarraconia rolani,Endangered,Unknown
86,Palaemonetes antrorum,Endangered,Unknown
87,Palaemonetes cummingi,Critically Endangered,Unknown
88,Palaemonias alabamae,Endangered,Unknown
89,Palaemonias ganteri,Vulnerable,Unknown
90,Palaina moussoni,Critically Endangered,Unknown
91,Palaina striolata,Critically Endangered,Unknown
92,Palaina wilsoni,Endangered,Unknown
93,Palea steindachneri,Critically Endangered,Decreasing
94,Pseudobatos percellens,Endangered,Decreasing
95,Carcharhinus acronotus,Endangered,Decreasing
96,Myliobatis goodei,Vulnerable,Decreasing
97,Alopias superciliosus,Vulnerable,Decreasing
98,Mobula hypostoma,Endangered,Decreasing
99,Pseudobatos lentiginosus,Vulnerable,Decreasing
100,Partula emersoni,Critically Endangered,Unknown
101,Partula guamensis,Critically Endangered,Unknown
102,Opisthoteuthis mero,Endangered,Decreasing
103,Opisthoteuthis massyae,Vulnerable,Decreasing
104,Cirroctopus hochbergi,Endangered,Decreasing
105,Cuora mouhotii,Endangered,Decreasing
106,Cyclemys oldhamii,Endangered,Decreasing
107,Centrochelys sulcata,Endangered,Decreasing
108,Cycloderma aubryi,Vulnerable,Decreasing
109,Batagur borneoensis,Critically Endangered,Decreasing
110,Alsophylax laevis,Critically Endangered,Decreasing
111,Pegias fabula,Critically Endangered,Decreasing
112,Islamia pseudorientalica,Critically Endangered,Unknown
113,Leguminaia saulcyi,Critically Endangered,Unknown
114,Margaritifera homsensis,Endangered,Unknown
115,Anodonta pseudodopsis,Endangered,Unknown
116,Pseudamnicola solitaria,Endangered,Decreasing
117,Gyraulus bekaensis,Vulnerable,Unknown
118,Heleobia galilaea,Vulnerable,Unknown
119,Stagnicola kayseris,Endangered,Unknown
120,Boophis baetkei,Critically Endangered,Decreasing
121,Pelochelys cantorii,Critically Endangered,Decreasing
122,Pelochelys bibroni,Vulnerable,Unknown
123,Leptobotia elongata,Vulnerable,Decreasing
124,Luciocyprinus langsoni,Vulnerable,Decreasing
125,Carassius cuvieri,Endangered,Decreasing
126,Verasper variegatus,Vulnerable,Decreasing
127,Samoana burchi,Critically Endangered,Unknown
128,Tlaloc hildebrandi,Endangered,Unknown
129,Vieja hartwegi,Endangered,Decreasing
130,Allotoca diazi,Critically Endangered,Decreasing
131,Chirostoma promelas,Endangered,Decreasing
132,Chirostoma attenuatum,Endangered,Decreasing
133,Zoogoneticus tequila,Endangered,Increasing
134,Herichthys steindachneri,Endangered,Unknown
135,Mastacembelus oatesii,Endangered,Unknown
136,Schistura spiesi,Vulnerable,Unknown
137,Oligodon meyerinkii,Endangered,Decreasing
138,Palinurus elephas,Vulnerable,Decreasing
139,Cheimerius matsubarai,Vulnerable,Unknown
140,Acanthopagrus vagus,Vulnerable,Decreasing
141,Chrysoblephus cristiceps,Critically Endangered,Decreasing
142,Polysteganus praeorbitalis,Vulnerable,Decreasing
143,Acanthopagrus sivicolus,Vulnerable,Decreasing
144,Cymatoceps nasutus,Vulnerable,Decreasing
145,Polysteganus undulosus,Critically Endangered,Increasing
146,Rhabdosargus globiceps,Vulnerable,Decreasing
147,Dentex dentex,Vulnerable,Unknown
148,Petrus rupestris,Endangered,Decreasing
149,Chrysoblephus gibbiceps,Endangered,Decreasing
150,Phocarctos hookeri,Endangered,Decreasing
151,Cyclemys atripons,Endangered,Decreasing
152,Cyclemys pulchristriata,Endangered,Decreasing
153,Chitra vandijki,Critically Endangered,Decreasing
154,Pelochelys signifera,Vulnerable,Decreasing
155,Mesoclemmys hogei,Critically Endangered,Decreasing
156,Gyralina ermonae,Vulnerable,Stable
157,Cryptella alegranzae,Critically Endangered,Decreasing
158,Zonites graecus,Endangered,Decreasing
159,Charpentieria spezialensis,Critically Endangered,Unknown
160,Macedonica martae,Critically Endangered,Decreasing
161,Zonites labiosus,Endangered,Decreasing
162,Albinaria vrondamasa,Vulnerable,Unknown
163,Amphorella hypselia,Vulnerable,Stable
164,Retinella osoriensis,Endangered,Unknown
165,Carpathica elisabethae,Vulnerable,Unknown
166,Oxychilus fuscosus,Endangered,Unknown
167,Zonites oertzeni,Endangered,Decreasing
168,Albinaria zilchi,Vulnerable,Unknown
169,Carinigera tantilla,Vulnerable,Unknown
170,Lehmannia medioflagellata,Vulnerable,Stable
171,Albinaria solicola,Vulnerable,Unknown
172,Carinigera octava,Vulnerable,Unknown
173,Carinigera pharsalica,Endangered,Unknown
174,Montenegrina stankovici,Vulnerable,Stable
175,Carinigera superba,Vulnerable,Unknown
176,Vermetum festinans,Critically Endangered,Unknown
177,Cibinia nana,Vulnerable,Unknown
178,Charpentieria grohmanniana,Endangered,Decreasing
179,Albinaria litoraria,Vulnerable,Unknown
180,Carinigera liebegottae,Vulnerable,Unknown
181,Doraegopis carinatus,Vulnerable,Stable
182,Janulus pompylius,Critically Endangered,Unknown
183,Idyla liebegottae,Vulnerable,Unknown
184,Carinigera pellucida,Endangered,Unknown
185,Sphincterochila insularis,Endangered,Unknown
186,Bulgarica moellendorffi,Vulnerable,Unknown
187,Gyralina pageti,Vulnerable,Unknown
188,Limax dobrogicus,Vulnerable,Stable
189,Carinigera lophauchena,Endangered,Unknown
190,Lindbergia gittenbergeri,Critically Endangered,Unknown
191,Doraegopis boeoticus,Endangered,Stable
192,Allaegopis subariedeli,Vulnerable,Unknown
193,Atlantica gomerensis,Critically Endangered,Unknown
194,Albinaria sublamellosa,Vulnerable,Unknown
195,Macedonica slavica,Vulnerable,Unknown
196,Arion iratii,Vulnerable,Decreasing
197,Vitrea zilchi,Endangered,Unknown
198,Gyralina tarabosensis,Vulnerable,Stable
199,Alopia meschendorferi,Vulnerable,Stable
200,Graecophaedusa sperrlei,Vulnerable,Unknown
201,Zonites messenicus,Endangered,Decreasing
202,Albinaria haessleini,Vulnerable,Unknown
203,Amphorella tuberculata,Endangered,Decreasing
204,Macedonica zilchi,Vulnerable,Decreasing
205,Macedonica guicciardii,Vulnerable,Unknown
206,Carinigera calabacensis,Vulnerable,Unknown
207,Macedonica brabeneci,Vulnerable,Unknown
208,Mediterranea pieperi,Vulnerable,Unknown
209,Protoherilla mirabilis,Vulnerable,Stable
210,Zonites kobelti,Endangered,Decreasing
211,Carinigera leucorhaphe,Vulnerable,Unknown
212,Janulus stephanophorus,Vulnerable,Unknown
213,Albinaria thiesseae,Vulnerable,Unknown
214,Gyralina tsatsae,Vulnerable,Stable
215,Hypnophila girottii,Vulnerable,Unknown
216,Doraegopis subaii,Vulnerable,Stable
217,Vitrea spelaea,Endangered,Unknown
218,Hypnophila emiliana,Vulnerable,Stable
219,Charpentieria eminens,Endangered,Decreasing
220,Zonites euboeicus,Endangered,Decreasing
221,Charpentieria leucophryna,Endangered,Unknown
222,Zonites algirus,Vulnerable,Stable
223,Cryptella famarae,Vulnerable,Decreasing
224,Gyralina hausdorfi,Vulnerable,Stable
225,Lindbergia spiliaenymphis,Vulnerable,Unknown
226,Macedonica pinteri,Vulnerable,Decreasing
227,Albinaria evelynae,Vulnerable,Unknown
228,Gyralina mljetica,Vulnerable,Stable
229,Albinaria compressa,Vulnerable,Unknown
230,Oxychilus farinesianus,Vulnerable,Unknown
231,Carinigera torifera,Vulnerable,Unknown
232,Oxychilus pilula,Endangered,Decreasing
233,Tsoukatosia liae,Vulnerable,Stable
234,Albinaria pelocarinata,Vulnerable,Unknown
235,Gyralina velkovrhi,Vulnerable,Unknown
236,Lehmannia vrancensis,Vulnerable,Stable
237,Charpentieria ferrox,Critically Endangered,Decreasing
238,Tandonia lagostana,Critically Endangered,Unknown
239,Albinaria cytherae,Vulnerable,Unknown
240,Xerotricha garachicoensis,Critically Endangered,Unknown
241,Albinaria idyllica,Vulnerable,Unknown
242,Doraegopis parnonicus,Vulnerable,Stable
243,Charpentieria nobilis,Endangered,Decreasing
244,Idyla pelobsoleta,Vulnerable,Unknown
245,Oxychilus amblyopus,Vulnerable,Unknown
246,Cryptella auriculata,Vulnerable,Decreasing
247,Carinigera drenovoensis,Critically Endangered,Unknown
248,Gyralina velasensis,Vulnerable,Stable
249,Carinigera septima,Vulnerable,Unknown
250,Bulgarica stolii,Vulnerable,Unknown
251,Charpentieria crassicostata,Critically Endangered,Decreasing
252,Bulgarica mystica,Vulnerable,Unknown
253,Albinaria adrianae,Vulnerable,Unknown
254,Albinaria ithomensis,Vulnerable,Unknown
255,Pseudodon cumingii,Vulnerable,Unknown
256,Spelaeodiscus bulgaricus,Vulnerable,Stable
257,Albinaria linnei,Vulnerable,Unknown
258,Phrynops williamsi,Vulnerable,Decreasing
259,Rhampholeon acuminatus,Critically Endangered,Unknown
260,Kinyongia vosseleri,Endangered,Decreasing
261,Rhampholeon temporalis,Endangered,Decreasing
262,Nadzikambia mlanjensis,Endangered,Decreasing
263,Rhampholeon platyceps,Endangered,Decreasing
264,Kinyongia magomberae,Endangered,Unknown
265,Kinyongia matschiei,Endangered,Decreasing
266,Rhampholeon beraduccii,Vulnerable,Unknown
267,Kinyongia tenuis,Endangered,Unknown
268,Kinyongia excubitor,Vulnerable,Stable
269,Trioceros quadricornis,Vulnerable,Decreasing
270,Trioceros pfefferi,Endangered,Decreasing
271,Kinyongia multituberculata,Endangered,Decreasing
272,Cnemaspis indraneildasii,Vulnerable,Unknown
273,Eutropis clivicola,Endangered,Unknown
274,Oligodon brevicauda,Vulnerable,Unknown
275,Melanophidium bilineatum,Vulnerable,Unknown
276,Uropeltis phipsonii,Vulnerable,Unknown
277,Dasia subcaerulea,Endangered,Unknown
278,Cnemaspis jerdonii,Vulnerable,Unknown
279,Cnemaspis goaensis,Endangered,Unknown
280,Cnemaspis wynadensis,Endangered,Unknown
281,Ahaetulla perroteti,Endangered,Unknown
282,Cnemaspis indica,Vulnerable,Unknown
283,Rhinophis travancoricus,Endangered,Unknown
284,Eurylepis poonaensis,Endangered,Unknown
285,Brygophis coulangesi,Vulnerable,Unknown
286,Nyctibatrachus dattatreyaensis,Critically Endangered,Unknown
287,Otocryptis beddomii,Endangered,Stable
288,Parreysia khadakvaslaensis,Vulnerable,Unknown
289,Physunio ferrugineus,Critically Endangered,Unknown
290,Pipistrellus maderensis,Vulnerable,Decreasing
291,Pisidium ultramontanum,Vulnerable,Unknown
292,Pisidium sanguinichristi,Vulnerable,Stable
293,Maniola halicarnassus,Endangered,Unknown
294,Brachylophus bulabula,Endangered,Decreasing
295,Conolophus marthae,Critically Endangered,Unknown
296,Ctenosaura conspicuosa,Vulnerable,Unknown
297,Ctenosaura nolascensis,Vulnerable,Stable
298,Sauromalus klauberi,Vulnerable,Unknown
299,Sauromalus varius,Vulnerable,Unknown
300,Callulina dawida,Critically Endangered,Decreasing
301,Platysternon megacephalum,Critically Endangered,Decreasing
302,Plecotus teneriffae,Vulnerable,Decreasing
303,Tetrapleurodon geminis,Endangered,Unknown
304,Opisthoteuthis calypso,Vulnerable,Unknown
305,Celestus scansorius,Endangered,Decreasing
306,Petropedetes euskircheni,Endangered,Decreasing
307,Petropedetes juliawurstnerae,Endangered,Decreasing
308,Achalinus jinggangensis,Critically Endangered,Decreasing
309,Boiga bourreti,Endangered,Unknown
310,Calamaria ingeri,Critically Endangered,Unknown
311,Pleurobema curtum,Critically Endangered,Decreasing
312,Pleurobema taitianum,Endangered,Decreasing
313,Pleurobema decisum,Endangered,Decreasing
314,Lycodon paucifasciatus,Vulnerable,Unknown
315,Pleurobema hanleyianum,Critically Endangered,Decreasing
316,Pleurobema pyriforme,Endangered,Decreasing
317,Pleurobema rubellum,Critically Endangered,Decreasing
318,Pleurocera corpulenta,Critically Endangered,Decreasing
319,Pleurocera foremani,Endangered,Decreasing
320,Oligodon lacroixi,Vulnerable,Unknown
321,Omoadiphas texiguatensis,Critically Endangered,Decreasing
322,Micrurus ruatanus,Critically Endangered,Decreasing
323,Naja siamensis,Vulnerable,Decreasing
324,Oligodon pulcherrimus,Vulnerable,Unknown
325,Ophiophagus hannah,Vulnerable,Decreasing
326,Poblana alchichica,Critically Endangered,Decreasing
327,Poblana ferdebueni,Critically Endangered,Decreasing
328,Poblana letholepis,Critically Endangered,Unknown
329,Poblana squamata,Critically Endangered,Decreasing
330,Succinea rotumana,Critically Endangered,Unknown
331,Placostylus koroensis,Critically Endangered,Unknown
332,Cryptella tamaranensis,Critically Endangered,Unknown
333,Acanthurus chronixis,Vulnerable,Unknown
334,Emoia adspersa,Endangered,Decreasing
335,Podocnemis lewyana,Critically Endangered,Decreasing
336,Anolis loveridgei,Endangered,Decreasing
337,Anolis cusuco,Critically Endangered,Decreasing
338,Anolis sminthus,Endangered,Decreasing
339,Poecilia sulphuraria,Endangered,Unknown
340,Anolis amplisquamosus,Critically Endangered,Decreasing
341,Poeciliopsis monacha,Endangered,Unknown
342,Platyplectrurus madurensis,Endangered,Unknown
343,Emoia boettgeri,Endangered,Decreasing
344,Anolis muralla,Critically Endangered,Decreasing
345,Emoia aneityumensis,Endangered,Decreasing
346,Protobothrops sieversorum,Endangered,Unknown
347,Enneanectes smithi,Vulnerable,Unknown
348,Clinus latipennis,Endangered,Unknown
349,Springeratus polyporatus,Endangered,Unknown
350,Bohadschia maculisparsa,Vulnerable,Unknown
351,Stichopus herrmanni,Vulnerable,Decreasing
352,Holothuria scabra,Endangered,Decreasing
353,Actinopyga miliaris,Vulnerable,Decreasing
354,Holothuria lessoni,Endangered,Decreasing
355,Holothuria nobilis,Endangered,
356,Actinopyga mauritiana,Vulnerable,Decreasing
357,Holothuria platei,Vulnerable,Unknown
358,Apostichopus parvimensis,Vulnerable,Stable
359,Isostichopus fuscus,Endangered,Decreasing
360,Holothuria arenacava,Vulnerable,Unknown
361,Apostichopus japonicus,Endangered,Decreasing
362,Holothuria whitmaei,Endangered,
363,Thelenota ananas,Endangered,Decreasing
364,Actinopyga echinites,Vulnerable,Decreasing
365,Bihunichthys monopteroides,Vulnerable,Decreasing
366,Kottelatlimia pristes,Vulnerable,Unknown
367,Rhodeus laoensis,Vulnerable,Decreasing
368,Pterocryptis inusitata,Endangered,Decreasing
369,Clarias batu,Critically Endangered,Decreasing
370,Oreoglanis lepturus,Critically Endangered,Unknown
371,Potamilus capax,Vulnerable,Decreasing
372,Schistura quasimodo,Endangered,Decreasing
373,Poropuntius bolovenensis,Endangered,Decreasing
374,Rhinogobius lineatus,Endangered,Decreasing
375,Betta fusca,Critically Endangered,Unknown
376,Schistura atra,Vulnerable,Decreasing
377,Hemimyzon confluens,Vulnerable,Decreasing
378,Rhinogobius albimaculatus,Vulnerable,Decreasing
379,Oreoglanis heteropogon,Endangered,Decreasing
380,Schistura nudidorsum,Endangered,Unknown
381,Hyalobagrus ornatus,Critically Endangered,Unknown
382,Schistura kontumensis,Vulnerable,Decreasing
383,Neolissochilus hendersoni,Vulnerable,Unknown
384,Barbodes dunckeri,Endangered,Decreasing
385,Devario apopyris,Vulnerable,Unknown
386,Pangio pulla,Vulnerable,Unknown
387,Prietella phreatophila,Vulnerable,Decreasing
388,Prietella lundbergi,Vulnerable,Unknown
389,Probarbus jullieni,Critically Endangered,Decreasing
390,Pachydrobia levayi,Vulnerable,Unknown
391,Pachydrobia zilchi,Endangered,Unknown
392,Brotia wykoffi,Vulnerable,Unknown
393,Brotia subgloriosa,Vulnerable,Unknown
394,Gyraulus bakeri,Vulnerable,Unknown
395,Brotia paludiformis,Vulnerable,Unknown
396,Scartella springeri,Vulnerable,Unknown
397,Scartella poiti,Vulnerable,Unknown
398,Scartella nuchifilis,Vulnerable,Unknown
399,Aphaostracon pycnus,Vulnerable,Unknown
400,Pristimantis muchimuk,Vulnerable,Stable
401,Pseudopalaina polymorpha,Critically Endangered,Unknown
402,Cryptobatrachus remotus,Vulnerable,Stable
403,Psilotris boehlkei,Vulnerable,Unknown
404,Tigrigobius redimiculus,Vulnerable,Unknown
405,Coryphopterus thrix,Vulnerable,Unknown
406,Coryphopterus eidolon,Vulnerable,Unknown
407,Coryphopterus tortugae,Vulnerable,Unknown
408,Coryphopterus venezuelae,Vulnerable,Unknown
409,Coryphopterus lipernes,Vulnerable,Unknown
410,Coryphopterus personatus,Vulnerable,Unknown
411,Coryphopterus alloides,Vulnerable,Unknown
412,Elacatinus atronasus,Endangered,Decreasing
413,Elacatinus jarocho,Endangered,Unknown
414,Elacatinus prochilos,Vulnerable,Unknown
415,Gobiosoma hildebrandi,Vulnerable,Decreasing
416,Gobiosoma spilotum,Endangered,Decreasing
417,Bolitoglossa pygmaea,Vulnerable,Stable
418,Raorchestes sushili,Critically Endangered,Unknown
419,Brycon devillei,Endangered,Unknown
420,Prochilodus vimboides,Vulnerable,Decreasing
421,Lophiosilurus alexandri,Vulnerable,Decreasing
422,Listrura nematopteryx,Critically Endangered,Unknown
423,Listrura tetraradiata,Critically Endangered,Unknown
424,Spintherobolus leptoura,Endangered,Unknown
425,Brycon insignis,Endangered,Decreasing
426,Brycon vermelha,Endangered,Decreasing
427,Spintherobolus ankoseion,Vulnerable,Unknown
428,Characidium vestigipinne,Critically Endangered,Unknown
429,Conorhynchos conirostris,Endangered,Decreasing
430,Steindachneridion melanodermatum,Endangered,Decreasing
431,Hyphessobrycon duragenys,Endangered,Unknown
432,Kolpotocheirodon figueiredoi,Critically Endangered,Unknown
433,Glaphyropoma spinosum,Vulnerable,Unknown
434,Spintherobolus broccae,Endangered,Unknown
435,Heptapterus multiradiatus,Critically Endangered,Unknown
436,Taunayia bifasciata,Vulnerable,Unknown
437,Scleromystax macropterus,Endangered,Unknown
438,Steindachneridion parahybae,Endangered,Decreasing
439,Trichomycterus papilliferus,Endangered,Unknown
440,Halichoeres burekae,Endangered,Unknown
441,Gracixalus quyeti,Endangered,Unknown
442,Raorchestes chromasynchysi,Vulnerable,Stable
443,Schistura thanho,Endangered,Decreasing
444,Yasuhikotakia nigrolineata,Vulnerable,Decreasing
445,Terateleotris aspro,Endangered,Unknown
446,Ptychobranchus greenii,Endangered,Decreasing
447,Ptychobranchus jonesi,Critically Endangered,Decreasing
448,Neopomacentrus aquadulcis,Endangered,Decreasing
449,Altrichthys curatus,Vulnerable,Decreasing
450,Altrichthys azurelineatus,Vulnerable,Decreasing
451,Amblyglyphidodon batunai,Vulnerable,Decreasing
452,Amblyglyphidodon ternatensis,Vulnerable,Decreasing
453,Pachydrobia bertini,Vulnerable,Unknown
454,Stenothyra laotiensis,Vulnerable,Unknown
455,Tricula conica,Vulnerable,Unknown
456,Jullienia albaobscura,Vulnerable,Unknown
457,Stenothyra huaimoi,Endangered,Unknown
458,Paraprososthenia lynnei,Vulnerable,Unknown
459,Cincinna kizakikoensis,Critically Endangered,Unknown
460,Pyrgulopsis greggi,Vulnerable,Unknown
461,Pyrgulopsis diablensis,Vulnerable,Unknown
462,Alasmidonta triangulata,Endangered,Decreasing
463,Fluminicola modoci,Vulnerable,Unknown
464,Opacuincola caeca,Vulnerable,Unknown
465,Elliptio roanokensis,Vulnerable,Decreasing
466,Planorbella oregonensis,Vulnerable,Unknown
467,Pyrgulopsis bruneauensis,Critically Endangered,Decreasing
468,Marstonia castor,Critically Endangered,Decreasing
469,Pyrgulopsis conica,Vulnerable,Unknown
470,Tryonia diaboli,Endangered,Unknown
471,Elimia bellacrenata,Critically Endangered,Decreasing
472,Stagnicola idahoensis,Endangered,Unknown
473,Pyrgulopsis erythropoma,Critically Endangered,Unknown
474,Neritina granosa,Vulnerable,Decreasing
475,Juga occata,Endangered,Decreasing
476,Pyrgulopsis ventricosa,Critically Endangered,Decreasing
477,Physa zionis,Vulnerable,Stable
478,Pyrgulopsis glandulosa,Vulnerable,Unknown
479,Pyrgulopsis metcalfi,Endangered,Unknown
480,Pyrgulopsis montezumensis,Vulnerable,Unknown
481,Paludomus messageri,Endangered,Unknown
482,Caledoconcha carnosa,Critically Endangered,Unknown
483,Marstonia ozarkensis,Critically Endangered,
484,Pyrgulopsis roswellensis,Vulnerable,Decreasing
485,Pyrgulopsis thermalis,Critically Endangered,Stable
486,Pyrgulopsis trivialis,Critically Endangered,Decreasing
487,Pyrgulopsis bernardina,Endangered,Decreasing
488,Rhomboplites aurorubens,Vulnerable,Decreasing
489,Fusconaia mitchelli,Critically Endangered,Decreasing
490,Rafetus euphraticus,Endangered,Decreasing
491,Anodonthyla emilei,Endangered,Decreasing
492,Ectopoglossus confusus,Endangered,Decreasing
493,Limnonectes megastomias,Vulnerable,Decreasing
494,Odorrana geminata,Vulnerable,Decreasing
495,Rhaebo andinophrynoides,Vulnerable,Decreasing
496,Lacantunia enigmatica,Vulnerable,Unknown
497,Atherinella ammophila,Endangered,Decreasing
498,Atherinella lisa,Endangered,Unknown
499,Chirostoma aculeatum,Critically Endangered,Decreasing
500,Chirostoma chapalae,Vulnerable,Stable
501,Chirostoma charari,Critically Endangered,Decreasing
502,Chirostoma estor,Endangered,Decreasing
503,Chirostoma humboldtianum,Vulnerable,Decreasing
504,Chirostoma lucius,Endangered,Decreasing
505,Chirostoma melanoccus,Critically Endangered,Unknown
506,Chirostoma mezquital,Endangered,Decreasing
507,Chirostoma patzcuaro,Critically Endangered,Decreasing
508,Chirostoma riojai,Critically Endangered,Decreasing
509,Chirostoma sphyraena,Endangered,Decreasing
510,Astyanax altior,Vulnerable,Unknown
511,Astyanax jordani,Endangered,Unknown
512,Moxostoma mascotae,Vulnerable,Decreasing
513,Algansea amecae,Endangered,Decreasing
514,Algansea aphanea,Endangered,Decreasing
515,Algansea avia,Endangered,Unknown
516,Algansea barbata,Critically Endangered,Decreasing
517,Algansea lacustris,Critically Endangered,Decreasing
518,Algansea popoche,Endangered,Decreasing
519,Notropis boucardi,Endangered,Unknown
520,Notropis calabazas,Critically Endangered,Decreasing
521,Notropis calientis,Critically Endangered,Decreasing
522,Notropis grandis,Endangered,Decreasing
523,Notropis marhabatiensis,Critically Endangered,Decreasing
524,Tampichthys rasconis,Endangered,Unknown
525,Yuriria alta,Endangered,Decreasing
526,Yuriria amatlana,Endangered,Decreasing
527,Yuriria chapalae,Endangered,Decreasing
528,Cyprinodon bobmilleri,Vulnerable,Unknown
529,Cyprinodon esconditus,Vulnerable,Unknown
530,Cyprinodon suavium,Vulnerable,Unknown
531,Fundulus philpisteri,Critically Endangered,Decreasing
532,Allodontichthys hubbsi,Endangered,Decreasing
533,Allodontichthys polylepis,Critically Endangered,Decreasing
534,Allodontichthys zonistius,Vulnerable,Decreasing
535,Brotia annamita,Vulnerable,Unknown
536,Brotia hoabinhensis,Vulnerable,Unknown
537,Brotia laodelectata,Vulnerable,Decreasing
538,Alloophorus robustus,Vulnerable,Decreasing
539,Allotoca dugesii,Endangered,Decreasing
540,Allotoca meeki,Critically Endangered,Decreasing
541,Neoophorus regalis,Critically Endangered,Decreasing
542,Allotoca zacapuensis,Critically Endangered,Decreasing
543,Chapalichthys encaustus,Vulnerable,Decreasing
544,Chapalichthys pardalis,Critically Endangered,Decreasing
545,Neotoca bilineata,Endangered,Decreasing
546,Skiffia lermae,Endangered,Decreasing
547,Skiffia multipunctata,Endangered,Decreasing
548,Xenotaenia resolanae,Vulnerable,Decreasing
549,Xenotoca eiseni,Endangered,Decreasing
550,Xenotoca melanosoma,Endangered,Decreasing
551,Zoogoneticus quitzeoensis,Endangered,Decreasing
552,Poecilia teresae,Endangered,Unknown
553,Poecilia velifera,Vulnerable,Decreasing
554,Poeciliopsis catemaco,Endangered,Unknown
555,Priapella olmecae,Endangered,Unknown
556,Xiphophorus andersi,Endangered,Decreasing
557,Gobiesox fluviatilis,Vulnerable,Unknown
558,Gobiesox juniperoserrai,Critically Endangered,Decreasing
559,Gobiesox mexicanus,Vulnerable,Unknown
