,scientificName,redlistCategory,populationTrend
8882,Isophya stepposa,Endangered,Decreasing
8883,Isophya zubowskii,Endangered,Decreasing
8884,Poecilimon pechevi,Critically Endangered,Decreasing
8885,Anadrymadusa retowskii,Endangered,Decreasing
8886,Bradyporus montandoni,Critically Endangered,Decreasing
8887,Conocephalus ebneri,Endangered,Decreasing
8888,Metrioptera prenjica,Endangered,Decreasing
8889,Montana macedonica,Vulnerable,Decreasing
8890,Uromenus dyrrhachiacus,Critically Endangered,Decreasing
8891,Zeuneriana amplipennis,Endangered,Decreasing
8892,Arcyptera alzonai,Endangered,Decreasing
8893,Pethia pookodensis,Critically Endangered,Unknown
8894,Dawkinsia rohani,Vulnerable,Unknown
8895,Pethia setnai,Vulnerable,Unknown
8896,Pethia shalynius,Vulnerable,Unknown
8897,Pethia sharmai,Endangered,Unknown
8898,Dawkinsia tambraparniei,Endangered,Decreasing
8899,Chorthippus lacustris,Critically Endangered,Decreasing
8900,Pethia yuensis,Vulnerable,Unknown
8901,Liolaemus villaricensis,Vulnerable,Unknown
8902,Nothophantes horridus,Critically Endangered,Decreasing
8903,Oropodisma kyllinii,Vulnerable,Unknown
8904,Oropodisma lagrecai,Critically Endangered,Decreasing
8905,Oropodisma macedonica,Vulnerable,Decreasing
8906,Oropodisma parnassica,Endangered,Decreasing
8907,Oropodisma taygetosi,Vulnerable,Unknown
8908,Oropodisma tymphrestosi,Endangered,Decreasing
8909,Peripodisma tymphii,Endangered,Decreasing
8910,Stenobothrus clavatus,Endangered,Decreasing
8911,Glyphanus obtusus,Endangered,Decreasing
8912,Orchamus gracilis,Endangered,Decreasing
8913,Orchamus raulinii,Vulnerable,Decreasing
8914,Isophya mavromoustakisi,Endangered,Decreasing
8915,Poecilimon gracilioides,Endangered,Decreasing
8916,Poecilimon paros,Endangered,Decreasing
8917,Poecilimon soulion,Endangered,Decreasing
8918,Dolichopoda dalensi,Vulnerable,Unknown
8919,Dolichopoda graeca,Vulnerable,Unknown
8920,Dolichopoda ithakii,Vulnerable,Unknown
8921,Dolichopoda matsakisi,Vulnerable,Unknown
8922,Dolichopoda naxia,Vulnerable,Unknown
8923,Dolichopoda giulianae,Vulnerable,Unknown
8924,Lepidomeda mollispinis,Vulnerable,Stable
8925,Dolichopoda pavesii,Vulnerable,Unknown
8926,Dolichopoda petrochilosi,Vulnerable,Unknown
8927,Troglophilus marinae,Critically Endangered,Unknown
8928,Anadrymadusa brevipennis,Vulnerable,Decreasing
8929,Bucephaloptera cypria,Endangered,Decreasing
8930,Eupholidoptera pallipes,Vulnerable,Unknown
8931,Parnassiana chelmos,Endangered,Decreasing
8932,Parnassiana coracis,Vulnerable,Unknown
8933,Parnassiana dirphys,Vulnerable,Unknown
8934,Parnassiana fusca,Vulnerable,Unknown
8935,Parnassiana gionica,Critically Endangered,Decreasing
8936,Parnassiana menalon,Critically Endangered,Decreasing
8937,Parnassiana nigromarginata,Critically Endangered,Decreasing
8938,Parnassiana panaetolikon,Critically Endangered,Decreasing
8939,Parnassiana parnassica,Critically Endangered,Decreasing
8940,Parnassiana parnon,Vulnerable,Unknown
8941,Parnassiana tenuis,Vulnerable,Unknown
8942,Parnassiana tymphiensis,Endangered,Decreasing
8943,Parnassiana tymphrestos,Endangered,Decreasing
8944,Pholidoptera lucasi,Endangered,Decreasing
8945,Rhacocleis crypta,Vulnerable,Unknown
8946,Rhacocleis derrai,Vulnerable,Unknown
8947,Rhacocleis distinguenda,Vulnerable,Unknown
8948,Rhacocleis ferdinandi,Vulnerable,Unknown
8949,Rhacocleis lithoscirtetes,Vulnerable,Unknown
8950,Rhacocleis trilobata,Critically Endangered,Decreasing
8951,Dolichopoda calidnae,Vulnerable,Unknown
8952,Podismopsis keisti,Vulnerable,Stable
8953,Podismopsis styriaca,Vulnerable,Unknown
8954,Anonconotus italoaustriacus,Endangered,Decreasing
8955,Anonconotus ligustinus,Endangered,Unknown
8956,Anonconotus mercantouri,Vulnerable,Unknown
8957,Gomphoceridius brevipennis,Vulnerable,Decreasing
8958,Omocestus antigai,Vulnerable,Decreasing
8959,Omocestus defauti,Vulnerable,Unknown
8960,Sphingonotus uvarovi,Endangered,Decreasing
8961,Stenobothrus grammicus,Vulnerable,Decreasing
8962,Amedegnatiana vicheti,Endangered,Decreasing
8963,Ephippiger provincialis,Vulnerable,Decreasing
8964,Metrioptera buyssoni,Endangered,Decreasing
8965,Carcharhinus tjutjot,Vulnerable,Decreasing
8966,Dentiraja confusa,Critically Endangered,Decreasing
8967,Hemiscyllium hallstromi,Vulnerable,Unknown
