"Scientific Name","Common Name","Species Group","Federal Listing Status","Where Listed"
"Etheostoma wapiti","Boulder darter","Fishes","Experimental Population, Non-Essential","Shoal Creek (from Shoal Creek mile 41.7 (66.7 km)) at the mouth of Long Branch, Lawrence County, TN, downstream to the backwaters of Wilson Reservoir (Shoal Creek mile 14 (22 km)) at Goose Shoals, Lauderdale County, AL, including the lower 5 miles (8 km) of all tributaries that enter this reach."
"Eua zebrina","Snail [no common name]","Snails","Endangered","Wherever found"
"Eubalaena australis","Southern Right Whale","Mammals","Endangered","Wherever found"
"Eubalaena glacialis","North Atlantic Right Whale","Mammals","Endangered","Wherever found"
"Eubalaena japonica","North Pacific Right Whale","Mammals","Endangered","Wherever found"
"Euchloe ausonides insulanus","Island marble Butterfly","Insects","Endangered","Wherever found"
"Eucyclogobius newberryi","Tidewater goby","Fishes","Endangered","Wherever found"
"Eudyptes chrysocome","southern rockhopper penguin","Birds","Threatened","New Zealand-Australia DPS, associated with the Campbell Plateau and Macquarie Island"
"Eudyptes pachyrhynchus","fiordland crested penguin","Birds","Threatened","Wherever found"
"Eudyptes sclateri","erect-crested penguin","Birds","Threatened","Wherever found"
"Eudyptula albosignata","white-flippered penguin","Birds","Threatened","Wherever found"
"Eulidia yarrellii","Chilean woodstar","Birds","Endangered","Wherever found"
"Eumeces egregius lividus","Bluetail mole skink","Reptiles","Threatened","Wherever found"
"Eumetopias jubatus","Steller sea lion","Mammals","Endangered","Western DPS - See 50 CFR 224.101"
"Eumops floridanus","Florida bonneted bat","Mammals","Endangered","Wherever found"
"Euphilotes battoides allyni","El Segundo blue butterfly","Insects","Endangered","Wherever found"
"Euphilotes enoptes smithi","Smith's blue butterfly","Insects","Endangered","Wherever found"
"Euphydryas editha bayensis","Bay checkerspot butterfly","Insects","Threatened","Wherever found"
"Euphydryas editha quino (=E. e. wrighti)","Quino checkerspot butterfly","Insects","Endangered","Wherever found"
"Euphydryas editha taylori","Taylor's (=whulge) Checkerspot","Insects","Endangered","Wherever found"
"Euphyllia paradivisa","No common name","Corals","Threatened","Wherever found"
"Euproserpinus euterpe","Kern primrose sphinx moth","Insects","Threatened","Wherever found"
"Eurycea [=Typhlomolge] rathbuni","Texas blind salamander","Amphibians","Endangered","Wherever found"
"Eurycea chisholmensis","Salado Salamander","Amphibians","Threatened","Wherever found"
"Eurycea nana","San Marcos salamander","Amphibians","Threatened","Wherever found"
"Eurycea naufragia","Georgetown Salamander","Amphibians","Threatened","Wherever found"
"Eurycea sosorum","Barton Springs salamander","Amphibians","Endangered","Wherever found"
"Eurycea tonkawae","Jollyville Plateau Salamander","Amphibians","Threatened","Wherever found"
"Eurycea waterlooensis","Austin blind Salamander","Amphibians","Endangered","Wherever found"
"Eutrichomyias rowleyi","Caerulean Paradise flycatcher","Birds","Endangered","Wherever found"
"Eutriorchis astur","Madagascar serpent eagle","Birds","Endangered","Wherever found"
"Falco araea","Seychelles kestrel","Birds","Endangered","Wherever found"
"Falco femoralis septentrionalis","Northern Aplomado Falcon","Birds","Endangered","Wherever found, except where listed as an experimental population"
"Falco femoralis septentrionalis","Northern Aplomado Falcon","Birds","Experimental Population, Non-Essential","U.S.A (AZ, NM)"
"Falco peregrinus peregrinus","Eurasian peregrine falcon","Birds","Endangered","Wherever found"
"Falco punctatus","Mauritius kestrel","Birds","Endangered","Wherever found"
"Felis jacobita","Andean cat","Mammals","Endangered","Wherever found"
"Felis margarita scheffeli","Pakistan sand cat","Mammals","Endangered","Wherever found"
"Felis nigripes","Black-footed cat","Mammals","Endangered","Wherever found"
"Felis pardina","Spanish lynx","Mammals","Endangered","Wherever found"
"Formicivora erythronotos","Black hooded (black-headed) antwren","Birds","Endangered","Wherever found"
"Foudia flavicans","Rodrigues fody","Birds","Endangered","Wherever found"
"Foudia rubra","Mauritius fody","Birds","Endangered","Wherever found"
"Foudia sechellarum","Seychelles fody (weaver-finch)","Birds","Endangered","Wherever found"
"Francolinus ochropectus","Djibouti francolin","Birds","Endangered","Wherever found"
"Fregata andrewsi","Andrew's frigatebird","Birds","Endangered","Wherever found"
"Fulica americana alai","Hawaiian coot","Birds","Endangered","Wherever found"
"Fundulus julisia","Barrens topminnow","Fishes","Endangered","Wherever found"
"Fusconaia burkei","Tapered pigtoe","Clams","Threatened","Wherever found"
"Fusconaia cor","Shiny pigtoe","Clams","Endangered","Wherever found; Except where listed as Experimental Populations"
"Fusconaia cor","Shiny pigtoe","Clams","Experimental Population, Non-Essential","U.S.A. (AL;The free-flowing reach of the Tennessee R. from the base of Wilson Dam downstream to the backwaters of Pickwick Reservoir [about 12 RM (19 km)] and the lower 5 RM [8 km] of all tributaries to this reach in Colbert and Lauderdale Cos., see 17.85(a))"
"Fusconaia cor","Shiny pigtoe","Clams","Experimental Population, Non-Essential","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))"
"Fusconaia cuneolus","Finerayed pigtoe","Clams","Endangered","Wherever found; Except where listed as Experimental Populations"
"Fusconaia cuneolus","Finerayed pigtoe","Clams","Experimental Population, Non-Essential","U.S.A. (AL;The free-flowing reach of the Tennessee R. from the base of Wilson Dam downstream to the backwaters of Pickwick Reservoir [about 12 RM (19 km)] and the lower 5 RM [8 km] of all tributaries to this reach in Colbert and Lauderdale Cos., see 17.85(a))"
"Fusconaia cuneolus","Finerayed pigtoe","Clams","Experimental Population, Non-Essential","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))"
"Fusconaia escambia","Narrow pigtoe","Clams","Threatened","Wherever found"
"Fusconaia masoni","Atlantic pigtoe","Clams","Threatened","Wherever found"
"Fusconaia rotulata","Round Ebonyshell","Clams","Endangered","Wherever found"
"Gallicolumba stairi","Friendly Ground-Dove","Birds","Endangered","American Samoa DPS"
"Gallinula chloropus guami","Mariana common moorhen","Birds","Endangered","Wherever found"
"Gallinula galeata sandvicensis","Hawaiian common gallinule","Birds","Endangered","Wherever found"
"Gallirallus (=Tricholimnas) sylvestris","Lord Howe wood rail","Birds","Endangered","Wherever found"
"Gallotia simonyi simonyi","Hierro giant lizard","Reptiles","Endangered","Wherever found"
"Gambelia silus","Blunt-nosed leopard lizard","Reptiles","Endangered","Wherever found"
"Gambusia gaigei","Big Bend gambusia","Fishes","Endangered","Wherever found"
"Gambusia georgei","San Marcos gambusia","Fishes","Endangered","Wherever found"
"Gambusia heterochir","Clear Creek gambusia","Fishes","Endangered","Wherever found"
"Gambusia nobilis","Pecos gambusia","Fishes","Endangered","Wherever found"
"Gammarus acherondytes","Illinois cave amphipod","Crustaceans","Endangered","Wherever found"
"Gammarus desperatus","Noel's Amphipod","Crustaceans","Endangered","Wherever found"
"Gammarus hyalleloides","Diminutive Amphipod","Crustaceans","Endangered","Wherever found"
"Gammarus pecos","Pecos amphipod","Crustaceans","Endangered","Wherever found"
"Gasterosteus aculeatus williamsoni","Unarmored threespine stickleback","Fishes","Endangered","Wherever found"
"Gavialis gangeticus","Gavial","Reptiles","Endangered","Wherever found"
"Gazella cuvieri","Mountain (=Cuvier's) gazelle","Mammals","Endangered","Wherever found"
"Gazella dama","Dama gazelle","Mammals","Endangered","Wherever found"
"Gazella dama lozanoi","Rio de Oro Dama gazelle","Mammals","Endangered","Wherever found"
"Gazella dama mhorr","Mhorr gazelle","Mammals","Endangered","Wherever found"
"Gazella dorcas massaesyla","Moroccan gazelle","Mammals","Endangered","Wherever found"
"Gazella dorcas pelzelni","Pelzeln's gazelle","Mammals","Endangered","Wherever found"
"Gazella dorcas saudiya","Saudi Arabian gazelle","Mammals","Endangered","Wherever found"
"Gazella gazella","Arabian gazelle","Mammals","Endangered","Wherever found"
"Gazella leptoceros","Slender-horned gazelle","Mammals","Endangered","Wherever found"
"Gazella subgutturosa marica","Sand gazelle","Mammals","Endangered","Wherever found"
"Geochelone nigra (=elephantopus)","Galapagos tortoise","Reptiles","Endangered","Wherever found"
"Geochelone radiata","Madagascar radiated tortoise","Reptiles","Endangered","Wherever found"
"Geochelone yniphora","Angulated tortoise","Reptiles","Endangered","Wherever found"
"Geoclemys hamiltonii","Spotted pond turtle","Reptiles","Endangered","Wherever found"
"Geopsittacus occidentalis","Night (=Australian) parrot","Birds","Endangered","Wherever found"
"Geronticus eremita","Northern bald ibis","Birds","Endangered","Wherever found"
"Gila bicolor ssp.","Hutton tui chub","Fishes","Threatened","Wherever found"
"Gila bicolor ssp. mohavensis","Mohave tui chub","Fishes","Endangered","Wherever found"
"Gila bicolor ssp. snyderi","Owens Tui Chub","Fishes","Endangered","Wherever found"
"Gila cypha","Humpback chub","Fishes","Threatened","Wherever found"
"Gila ditaenia","Sonora chub","Fishes","Threatened","Wherever found"
"Gila elegans","Bonytail","Fishes","Endangered","Wherever found"
"Gila intermedia","Gila chub","Fishes","Endangered","Wherever found"
"Gila nigrescens","Chihuahua chub","Fishes","Threatened","Wherever found"
"Gila purpurea","Yaqui chub","Fishes","Endangered","Wherever found"
"Gila robusta jordani","Pahranagat roundtail chub","Fishes","Endangered","Wherever found"
"Gila seminuda (=robusta)","Virgin River Chub","Fishes","Endangered","Wherever found"
"Glaucomys sabrinus coloratus","Carolina northern flying squirrel","Mammals","Endangered","Wherever found"
"Glaucopsyche lygdamus palosverdesensis","Palos Verdes blue butterfly","Insects","Endangered","Wherever found"
"Gopherus agassizii","Desert tortoise","Reptiles","Similarity of Appearance to a Threatened Taxon","AZ south and east of Colorado R., and Mexico, when found outside of Mexico or said range in AZ"
"Gopherus agassizii","Desert tortoise","Reptiles","Threatened","Wherever found, except AZ south and east of Colorado R., and Mexico"
"Gopherus flavomarginatus","Bolson tortoise","Reptiles","Endangered","Wherever found"
"Gopherus polyphemus","Gopher tortoise","Reptiles","Threatened","Wherever found west of Mobile and Tombigbee Rivers in AL, MS, and LA"
"Gorilla gorilla","Gorilla","Mammals","Endangered","Wherever found"
"Grallaria milleri","Brown-banded antpitta","Birds","Endangered","Wherever found"
"Graptemys flavimaculata","Yellow-blotched map turtle","Reptiles","Threatened","Wherever found"
"Graptemys oculifera","Ringed map turtle","Reptiles","Threatened","Wherever found"
"Grus americana","Whooping crane","Birds","Endangered","Wherever found, except where listed as an experimental population"
"Grus americana","Whooping crane","Birds","Experimental Population, Non-Essential","U.S.A. (AL, AR, CO, FL, GA, ID, IL, IN, IA, KY, LA, MI, MN, MS, MO, NC, NM, OH, SC, TN, UT, VA, WI, WV, western half of WY)"
"Grus americana","Whooping crane","Birds","Experimental Population, Non-Essential","U.S.A. (CO, ID, FL, NM, UT, and the western  half of Wyoming)"
"Grus americana","Whooping crane","Birds","Experimental Population, Non-Essential","U.S.A (Southwestern Louisiana)"
"Grus canadensis nesiotes","Cuba sandhill crane","Birds","Endangered","Wherever found"
"Grus canadensis pulla","Mississippi sandhill crane","Birds","Endangered","Wherever found"
"Grus japonensis","Japanese Crane","Birds","Endangered","Wherever found"
"Grus leucogeranus","Siberian white Crane","Birds","Endangered","Wherever found"
"Grus monacha","Hooded Crane","Birds","Endangered","Wherever found"
"Grus nigricollis","Black-necked Crane","Birds","Endangered","Wherever found"
"Grus vipio","White-naped Crane","Birds","Endangered","Wherever found"
"Gymnobelideus leadbeateri","Leadbeater's Possum","Mammals","Endangered","Wherever found"
"Gymnogyps californianus","California condor","Birds","Endangered","U.S.A. only, except where listed as an experimental population"
"Gymnogyps californianus","California condor","Birds","Experimental Population, Non-Essential","U.S.A. (Oregon, and specific portions of northern California and northwest Nevada)"
"Gymnogyps californianus","California condor","Birds","Experimental Population, Non-Essential","U.S.A. (specific portions of Arizona, Nevada, and Utah)-see 17.84(j)"
"Gymnomyza samoensis","Mao (= maomao) (honeyeater)","Birds","Endangered","Wherever found"
"Haematopus meadewaldoi","Canarian black oystercatcher","Birds","Endangered","Wherever found"
"Halcyon cinnamomina cinnamomina","Guam Micronesian kingfisher","Birds","Endangered","Wherever found"
"Haliaeetus albicilla groenlandicus","Greenland white-tailed eagle","Birds","Endangered","Wherever found"
"Haliaeetus vociferoides","Madagascar sea eagle","Birds","Endangered","Wherever found"
"Haliotis cracherodii","Black Abalone","Snails","Endangered","Wherever found"
"Haliotis sorenseni","White Abalone","Snails","Endangered","North America (West Coast from Point Conception, CA, U.S.A., to Punta Abreojos, Baja California, Mexico)"
"Hamiota australis","Southern Sandshell","Clams","Threatened","Wherever found"
"Harpia harpyja","Harpy eagle","Birds","Endangered","Wherever found"
"Helminthoglypta walkeriana","Morro shoulderband (=Banded dune) snail","Snails","Endangered","Wherever found"
"Hemiargus ceraunus antibubastus","Ceraunus Blue Butterfly","Insects","Similarity of Appearance to a Threatened Taxon","Wherever found"
"Hemignathus affinis","Maui nukupuu","Birds","Endangered","Wherever found"
"Hemignathus hanapepe","Kauai nukupuu","Birds","Endangered","Wherever found"
"Hemignathus wilsoni","akiapolaau","Birds","Endangered","Wherever found"
"Hemiphaga novaeseelandiae chathamensis","Chatham Island pigeon","Birds","Endangered","Wherever found"
"Hemistena lata","Cracking pearlymussel","Clams","Endangered","Wherever found; Except where listed as Experimental Populations"
"Hemistena lata","Cracking pearlymussel","Clams","Experimental Population, Non-Essential","U.S.A. (AL;The free-flowing reach of the Tennessee R. from the base of Wilson Dam downstream to the backwaters of Pickwick Reservoir [about 12 RM (19 km)] and the lower 5 RM [8 km] of all tributaries to this reach in Colbert and Lauderdale Cos., see 17.85(a))"
"Hemistena lata","Cracking pearlymussel","Clams","Experimental Population, Non-Essential","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))"
"Hemitragus jayakari","Arabian tahr","Mammals","Endangered","Wherever found"
"Hemitriccus kaempferi","Kaempfer's tody-tyrant","Birds","Endangered","Wherever found"
"Heraclides aristodemus ponceanus","Schaus swallowtail butterfly","Insects","Endangered","Wherever found"
"Herpailurus (=Felis) yagouaroundi cacomitli","Gulf Coast jaguarundi","Mammals","Endangered","Wherever found"
"Herpailurus (=Felis) yagouaroundi fossata","Guatemalan jaguarundi","Mammals","Endangered","Mexico,Nicaragua"
"Herpailurus (=Felis) yagouaroundi panamensis","Panamanian jaguarundi","Mammals","Endangered","Wherever found"
"Herpailurus (=Felis) yagouaroundi tolteca","Sinaloan Jaguarundi","Mammals","Endangered","Wherever found"
"Hesperia dacotae","Dakota Skipper","Insects","Threatened","Wherever found"
"Hesperia leonardus montana","Pawnee montane skipper","Insects","Threatened","Wherever found"
"Heterelmis comalensis","Comal Springs riffle beetle","Insects","Endangered","Wherever found"
"Himantopus mexicanus knudseni","Hawaiian stilt","Birds","Endangered","Wherever found"
"Himantopus novaezelandiae","Black Stilt","Birds","Endangered","Wherever found"
"Hippocamelus antisensis","North Andean huemul","Mammals","Endangered","Wherever found"
"Hippocamelus bisulcus","South Andean huemul","Mammals","Endangered","Wherever found"
"Hipposideros ridleyi","Singapore roundleaf horseshoe bat","Mammals","Endangered","Wherever found"
"Hippotragus niger variani","Giant sable antelope","Mammals","Endangered","Wherever found"
"Huso dauricus","Kaluga sturgeon","Fishes","Endangered","Wherever found"
"Huso huso","Beluga sturgeon","Fishes","Threatened","Wherever found"
"Hyaena hyaena barbara","Barbary hyena","Mammals","Endangered","Wherever found"
"Hybognathus amarus","Rio Grande Silvery Minnow","Fishes","Endangered","Wherever found, except where listed as an experimental population"
"Hybognathus amarus","Rio Grande Silvery Minnow","Fishes","Experimental Population, Non-Essential","Rio Grande, from Little Box Canyon (approximately 10.4 river miles downstream of Fort Quitman, TX) to Amistad Dam; and on the Pecos River, from its confluence with Independence Creek to its confluence with the Rio Grande"
"Hylaeus anthracinus","Anthricinan yellow-faced bee","Insects","Endangered","Wherever found"
"Hylaeus assimulans","Assimulans yellow-faced bee","Insects","Endangered","Wherever found"
"Hylaeus facilis","Easy yellow-faced bee","Insects","Endangered","Wherever found"
"Hylaeus hilaris","Hilaris yellow-faced bee","Insects","Endangered","Wherever found"
"Hylaeus kuakea","Hawaiian yellow-faced bee","Insects","Endangered","Wherever found"
"Hylaeus longiceps","Hawaiian yellow-faced bee","Insects","Endangered","Wherever found"
"Hylaeus mana","Hawaiian yellow-faced bee","Insects","Endangered","Wherever found"
"Hylobates spp. (including Nomascus)","Gibbons","Mammals","Endangered","Wherever found"
"Hymenophysa curta","Ayumodoki (loach)","Fishes","Endangered","Wherever found"
"Hypolimnas octocula marianensis","Mariana eight-spot butterfly","Insects","Endangered","Wherever found"
"Hypomesus transpacificus","Delta smelt","Fishes","Threatened","Wherever found"
"Hypsipetes borbonicus olivaceus","Mauritius olivaceous Bulbul","Birds","Endangered","Wherever found"
"Icaricia (Plebejus) shasta charlestonensis","Mount Charleston blue butterfly","Insects","Endangered","Wherever found"
"Icaricia icarioides fenderi","Fender's blue butterfly","Insects","Endangered","Wherever found"
"Icaricia icarioides missionensis","Mission blue butterfly","Insects","Endangered","Wherever found"
"Ictalurus pricei","Yaqui catfish","Fishes","Threatened","Wherever found"
"Indri indri","Indri lemur","Mammals","Endangered","Wherever found"
"Ischnura luta","Rota blue damselfly","Insects","Endangered","Wherever found"
"Isopora crateriformis","No common name","Corals","Threatened","Wherever found"
"Juturnia kosteri","Koster's springsnail","Snails","Endangered","Wherever found"
"Kachuga tecta tecta","Indian sawback turtle","Reptiles","Endangered","Wherever found"
"Kinosternon sonoriense longifemorale","Sonoyta mud turtle","Reptiles","Endangered","Wherever found"
"Kobus leche","Red lechwe","Mammals","Threatened","Wherever found"
"Lagorchestes hirsutus","Western hare wallaby","Mammals","Endangered","Wherever found"
"Lagostrophus fasciatus","Banded hare wallaby","Mammals","Endangered","Wherever found"
"Lagothrix flavicauda","Yellow-tailed woolly monkey","Mammals","Endangered","Wherever found"
"Lampsilis abrupta","Pink mucket (pearlymussel)","Clams","Endangered","Wherever found"
"Lampsilis altilis","Finelined pocketbook","Clams","Threatened","Wherever found"
"Lampsilis higginsii","Higgins eye (pearlymussel)","Clams","Endangered","Wherever found"
"Lampsilis perovalis","Orangenacre mucket","Clams","Threatened","Wherever found"
"Lampsilis powellii","Arkansas fatmucket","Clams","Threatened","Wherever found"
"Lampsilis rafinesqueana","Neosho Mucket","Clams","Endangered","Wherever found"
"Lampsilis streckeri","Speckled pocketbook","Clams","Endangered","Wherever found"
"Lampsilis subangulata","Shinyrayed pocketbook","Clams","Endangered","Wherever found"
"Lampsilis virescens","Alabama lampmussel","Clams","Endangered","Wherever found; Except where listed as Experimental Populations"
"Lampsilis virescens","Alabama lampmussel","Clams","Experimental Population, Non-Essential","U.S.A. (AL;The free-flowing reach of the Tennessee R. from the base of Wilson Dam downstream to the backwaters of Pickwick Reservoir [about 12 RM (19 km)] and the lower 5 RM [8 km] of all tributaries to this reach in Colbert and Lauderdale Cos., see 17.85(a))"
"Lanius ludovicianus mearnsi","San Clemente loggerhead shrike","Birds","Endangered","Wherever found"
"Lanx sp.","Banbury Springs limpet","Snails","Endangered","Wherever found"
"Larus audouinii","Audouin's gull","Birds","Endangered","Wherever found"
"Larus relictus","Relict gull","Birds","Endangered","Wherever found"
"Lasiorhinus krefftii (formerly L. barnardi and L. gillespiei)","Queensland hairy-nosed wombat (incl. Barnard's)","Mammals","Endangered","Wherever found"
"Lasiurus cinereus semotus","Hawaiian hoary bat","Mammals","Endangered","Wherever found"
"Lasmigona decorata","Carolina heelsplitter","Clams","Endangered","Wherever found"
"Laterallus jamaicensis ssp. jamaicensis","Eastern Black rail","Birds","Threatened","Wherever found"
"Laterallus tuerosi","Junin rail","Birds","Endangered","Wherever found"
"Latimeria chalumnae","African coelacanth","Fishes","Threatened","Tanzanian Distinct Population  Segment (DPS) of African coelacanth"
"Lednia tumana","Meltwater lednian stonefly","Insects","Threatened","Wherever found"
"Leiolopisma telfairi","Round Island skink","Reptiles","Threatened","Wherever found"
"Leiopelma hamiltoni","Stephen Island frog","Amphibians","Endangered","Wherever found"
"Lemiox rimosus","Birdwing pearlymussel","Clams","Endangered","Wherever found; Except where listed as Experimental Populations"
"Lemiox rimosus","Birdwing pearlymussel","Clams","Experimental Population, Non-Essential","U.S.A. (AL;The free-flowing reach of the Tennessee R. from the base of Wilson Dam downstream to the backwaters of Pickwick Reservoir [about 12 RM (19 km)] and the lower 5 RM [8 km] of all tributaries to this reach in Colbert and Lauderdale Cos., see 17.85(a))"
"Lemiox rimosus","Birdwing pearlymussel","Clams","Experimental Population, Non-Essential","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))"
"Lemuridae (incl. genera Lemur, Phaner, Hapalemur, Lepilemur, Microcebus, Allocebus, Cheirogaleus, Varecia)","Lemurs","Mammals","Endangered","Wherever found"
"Leontopithecus spp.","Golden-rumped tamarin","Mammals","Endangered","Wherever found"
"Leopardus (=Felis) pardalis","Ocelot","Mammals","Endangered","wherever found"
"Leopardus (=Felis) tigrinus","Tiger cat","Mammals","Endangered","Wherever found"
"Leopardus (=Felis) wiedii","Margay","Mammals","Endangered","Wherever found"
"Lepidochelys kempii","Kemp's ridley sea turtle","Reptiles","Endangered","Wherever found"
"Lepidochelys olivacea","Olive ridley sea turtle","Reptiles","Endangered","Breeding colony populations on Pacific coast of Mexico"
"Lepidochelys olivacea","Olive ridley sea turtle","Reptiles","Threatened","Wherever found, except when listed as endangered under 50 CFR 224.101"
"Lepidomeda albivallis","White River spinedace","Fishes","Endangered","Wherever found"
"Lepidomeda mollispinis pratensis","Big Spring spinedace","Fishes","Threatened","Wherever found"
"Lepidomeda vittata","Little Colorado spinedace","Fishes","Threatened","Wherever found"
"Lepidurus packardi","Vernal pool tadpole shrimp","Crustaceans","Endangered","Wherever found"
"Leporillus conditor","Stick-nest rat","Mammals","Endangered","Wherever found"
"Leptailurus (=Felis) serval constantina","Barbary serval","Mammals","Endangered","Wherever found"
"Leptasthenura xenothorax","White-browed tit-spinetail","Birds","Endangered","Wherever found"
"Leptodea leptodon","Scaleshell mussel","Clams","Endangered","Wherever found"
"Leptonycteris nivalis","Mexican long-nosed bat","Mammals","Endangered","Wherever found"
"Leptoptilos dubius","Greater adjutant","Birds","Endangered","Wherever found"
"Leptotes cassius theonus","Cassius Blue Butterfly","Insects","Similarity of Appearance to a Threatened Taxon","Wherever found"
"Leptotila rufaxilla wellsi","Grenada gray-fronted dove","Birds","Endangered","Wherever found"
"Leptoxis ampla","Round rocksnail","Snails","Threatened","Wherever found"
"Leptoxis foremani","Interrupted (=Georgia) Rocksnail","Snails","Endangered","Wherever found"
"Leptoxis plicata","Plicate rocksnail","Snails","Endangered","Wherever found"
"Leptoxis taeniata","Painted rocksnail","Snails","Threatened","Wherever found"
"Lepyrium showalteri","Flat pebblesnail","Snails","Endangered","Wherever found"
"Leucopeza semperi","Semper's warbler (=wood)","Birds","Endangered","Wherever found"
"Leucopsar rothschildi","Rothschild's starling (myna)","Birds","Endangered","Wherever found"
"Lichenostomus melanops cassidix (=Meliphaga c.)","Helmeted honeyeater","Birds","Endangered","Wherever found"
"Liophus ornatus","Maria Island snake","Reptiles","Endangered","Wherever found"
"Lioplax cyclostomaformis","Cylindrical lioplax (snail)","Snails","Endangered","Wherever found"
"Lipotes vexillifer","Chinese River Dolphin","Mammals","Endangered","Wherever found"
"Lirceus usdagalun","Lee County cave isopod","Crustaceans","Endangered","Wherever found"
"Lontra (=Lutra) felina","Marine otter","Mammals","Endangered","Wherever found"
"Lontra (=Lutra) longicaudis (incl. platensis)","Long-tailed otter","Mammals","Endangered","Wherever found"
"Lontra (=Lutra) provocax","Southern river otter","Mammals","Endangered","Wherever found"
"Lophophorus lhuysii","Chinese monal pheasant","Birds","Endangered","Wherever found"
"Lophophorus sclateri","Sclater's monal pheasant","Birds","Endangered","Wherever found"
"Lophura edwardsi","Edward's pheasant","Birds","Endangered","Wherever found"
"Lophura imperialis","Imperial pheasant","Birds","Endangered","Wherever found"
"Lophura swinhoii","Swinhoe's pheasant","Birds","Endangered","Wherever found"
"Loxioides bailleui","Palila (honeycreeper)","Birds","Endangered","Wherever found"
"Loxodonta africana","African elephant","Mammals","Threatened","Wherever found"
"Loxops caeruleirostris","Akekee","Birds","Endangered","Wherever found"
"Loxops coccineus","Hawaii akepa","Birds","Endangered","Wherever found"
"Loxops ochraceus","Maui akepa","Birds","Endangered","Wherever found"
"Lycaeides argyrognomon lotis","Lotis blue butterfly","Insects","Endangered","Wherever found"
"Lycaeides melissa samuelis","Karner blue butterfly","Insects","Endangered","Wherever found"
"Lycaon pictus","African wild dog","Mammals","Endangered","Wherever found"
"Lynx (=Felis) rufus escuinapae","Mexican bobcat","Mammals","Endangered","Wherever found"
"Lynx canadensis","Canada Lynx","Mammals","Threatened","Wherever Found in Contiguous U.S."
"Macaca arctoides","Stump-tailed macaque","Mammals","Threatened","Wherever found"
"Macaca cyclopis","Formosan rock macaque","Mammals","Threatened","Wherever found"
"Macaca fuscata","Japanese macaque","Mammals","Threatened","Wherever found"
"Macaca silenus","Lion-tailed macaque","Mammals","Endangered","Wherever found"
"Macaca sinica","Toque macaque","Mammals","Threatened","Wherever found"
"Macrocephalon maleo","Maleo megapode","Birds","Endangered","Wherever found"
"Macropus giganteus tasmaniensis","Tasmanian forester kangaroo","Mammals","Endangered","Wherever found"
"Macropus parma","Parma wallaby","Mammals","Endangered","Wherever found"
"Macrotis lagotis","Rabbit bandicoot","Mammals","Endangered","Wherever found"
"Macrotis leucura","Lesser rabbit bandicoot","Mammals","Endangered","Wherever found"
"Malaconotus alius","Ulugura bush-shrike","Birds","Threatened","Wherever found"
"Malimbus ibadanensis","Ibadan malimbe","Birds","Endangered","Wherever found"
"Mandrillus (=Papio) leucophaeus","Drill","Mammals","Endangered","Wherever found"
"Mandrillus (=Papio) sphinx","Mandrill","Mammals","Endangered","Wherever found"
"Manduca blackburni","Blackburn's sphinx moth","Insects","Endangered","Wherever found"
"Manis temminckii","Temnick''s ground Pangolin","Mammals","Endangered","Wherever found"
"Margaritifera hembeli","Louisiana pearlshell","Clams","Threatened","Wherever found"
"Margaritifera marrianae","Alabama pearlshell","Clams","Endangered","Wherever found"
"Marmota vancouverensis","Vancouver Island marmot","Mammals","Endangered","Wherever found"
"Martes caurina","Pacific Marten, Coastal Distinct Population Segment","Mammals","Threatened","Wherever found"
"Martes flavigula chrysospila","Formosan yellow-throated marten","Mammals","Endangered","Wherever found"
"Masticophis lateralis euryxanthus","Alameda whipsnake (=striped racer)","Reptiles","Threatened","Wherever found"
"Meda fulgida","Spikedace","Fishes","Endangered","Wherever found"
"Medionidus acutissimus","Alabama moccasinshell","Clams","Threatened","Wherever found"
"Medionidus parvulus","Coosa moccasinshell","Clams","Endangered","Wherever found"
"Medionidus penicillatus","Gulf moccasinshell","Clams","Endangered","Wherever found"
"Medionidus simpsonianus","Ochlockonee moccasinshell","Clams","Endangered","Wherever found"
"Medionidus walkeri","Suwannee moccasinshell","Clams","Threatened","Wherever found"
"Megadyptes antipodes","yellow-eyed penguin","Birds","Threatened","Wherever found"
"Megalagrion leptodemas","Crimson Hawaiian damselfly","Insects","Endangered","Wherever found"
"Megalagrion nesiotes","Flying earwig Hawaiian damselfly","Insects","Endangered","Wherever found"
"Megalagrion nigrohamatum nigrolineatum","Blackline Hawaiian damselfly","Insects","Endangered","Wherever found"
"Megalagrion oceanicum","Oceanic Hawaiian damselfly","Insects","Endangered","Wherever found"
"Megalagrion pacificum","Pacific Hawaiian damselfly","Insects","Endangered","Wherever found"
"Megalagrion xanthomelas","Orangeblack Hawaiian damselfly","Insects","Endangered","Wherever found"
"Megalonaias nicklineana","Nicklin's pearlymussel","Clams","Endangered","Wherever found"
"Megapodius laperouse","Micronesian megapode","Birds","Endangered","Wherever found"
"Megaptera novaeangliae","Humpback whale","Mammals","Endangered","Arabian Sea DPS"
"Megaptera novaeangliae","Humpback whale","Mammals","Endangered","Cape Verde Island/Northwest Africa"
