"Scientific Name","Common Name","Species Group","Federal Listing Status","Where Listed"
"Antilocapra americana sonoriensis","Sonoran pronghorn","Mammals","Experimental Population, Non-Essential","In Arizona, an area north of Interstate 8 and south of Interstate 10, bounded by the Colorado River on the west and Interstate 10 on the east; and an area south of Interstate 8, bounded by Highway 85 on the west, Interstates 10 and 19 on the east, and the U.S.-Mexico border on the south"
"Antrobia culveri","Tumbling Creek cavesnail","Snails","Endangered","Wherever found"
"Antrolana lira","Madison Cave isopod","Crustaceans","Threatened","Wherever found"
"Aonyx congicus (=congica) microdon","Cameroon clawless otter","Mammals","Endangered","Wherever found"
"Aphelocoma coerulescens","Florida scrub-jay","Birds","Threatened","Wherever found"
"Aplodontia rufa nigra","Point Arena mountain beaver","Mammals","Endangered","Wherever found"
"Aplonis pelzelni","Ponape mountain starling","Birds","Endangered","Wherever found"
"Apodemia mormo langei","Lange's metalmark butterfly","Insects","Endangered","Wherever found"
"Aproteles bulmerae","Bulmer's fruit bat (=flying fox)","Mammals","Endangered","Wherever found"
"Aquila heliaca adalberti","Spanish imperial eagle","Birds","Endangered","Wherever found"
"Ara ambiguus","Great green macaw","Birds","Endangered","Wherever found"
"Ara glaucogularis","Blue-throated macaw","Birds","Endangered","Wherever found"
"Ara macao ssp. cyanopterus","Scarlet macaw","Birds","Endangered","Wherever found"
"Ara macao ssp. macao","Scarlet macaw","Birds","Similarity of Appearance to a Threatened Taxon","Southern DPS"
"Ara macao ssp. macao","Scarlet macaw","Birds","Threatened","Northern DPS"
"Ara militaris","Military macaw","Birds","Endangered","Wherever found"
"Aratinga guarouba","Golden conure","Birds","Threatened","Wherever found"
"Arcanator orostruthus","Dappled mountain robin","Birds","Threatened","Wherever found"
"Arctocephalus townsendi","Guadalupe fur seal","Mammals","Threatened","Wherever found"
"Ardeotis (=Choriotis) nigriceps","Great Indian bustard","Birds","Endangered","Wherever found"
"Arkansia wheeleri","Ouachita rock pocketbook","Clams","Endangered","Wherever found"
"Assiminea pecos","Pecos assiminea snail","Snails","Endangered","Wherever found"
"Ateles geoffroyi frontatus","Spider monkey","Mammals","Endangered","Wherever found"
"Ateles geoffroyl panamensis","Spider monkey","Mammals","Endangered","Wherever found"
"Atelopus varius zeteki","Panamanian golden frog","Amphibians","Endangered","Wherever found"
"Athearnia anthonyi","Anthony's riversnail","Snails","Endangered","Wherever found; Except where listed as Experimental Populations"
"Athearnia anthonyi","Anthony's riversnail","Snails","Experimental Population, Non-Essential","U.S.A. (AL;The free-flowing reach of the Tennessee R. from the base of Wilson Dam downstream to the backwaters of Pickwick Reservoir [about 12 RM (19 km)] and the lower 5 RM [8 km] of all tributaries to this reach in Colbert and Lauderdale Cos., see 17.85(a))"
"Athearnia anthonyi","Anthony's riversnail","Snails","Experimental Population, Non-Essential","U.S.A. (TN - specified portions of the French Broad and Holston Rivers; see 17.85(b)(1))"
"Atrichornis clamosus","Noisy scrub-bird","Birds","Endangered","Wherever found"
"Avahi laniger (entire genus)","Avahi","Mammals","Endangered","Wherever found"
"Axis porcinus annamiticus","Indochina hog deer","Mammals","Endangered","Wherever found"
"Axis porcinus calamianensis","Calamianes (=Philippine) deer","Mammals","Endangered","Wherever found"
"Axis porcinus kuhli","Kuhl's (=Bawean) deer","Mammals","Endangered","Wherever found"
"Aythya innotata","Madagascar pochard","Birds","Endangered","Wherever found"
"Babyrousa babyrussa","Babirusa","Mammals","Endangered","Wherever found"
"Balaena mysticetus","Bowhead whale","Mammals","Endangered","Wherever found"
"Balaenoptera borealis","Sei whale","Mammals","Endangered","Wherever found"
"Balaenoptera musculus","Blue whale","Mammals","Endangered","Wherever found"
"Balaenoptera physalus","Finback whale","Mammals","Endangered","Wherever found"
"Batagur baska","River terrapin","Reptiles","Endangered","Wherever found"
